SCENE,HAMLET,CLAUDIUS,GERTRUDE,OPHELIA,LAERTES
"Act 1, Scene 1",,,,,
"Act 1, Scene 2",-0.9332,0.7932,0.6124,,0.3818
"Act 1, Scene 3",,,,0.9338,0.9892
"Act 1, Scene 4",-0.9861,,,,
"Act 1, Scene 5",0.9948,,,,
"Act 2, Scene 1",,,,-0.4162,
"Act 2, Scene 2",0.9986,0.9956,0.9102,,
"Act 3, Scene 1",0.994,0.8522,0.9681,0.9949,
"Act 3, Scene 2",0.9994,-0.6189,0.4767,0.8875,
"Act 3, Scene 3",-0.1324,-0.9479,,,
"Act 3, Scene 4",-0.9899,,-0.9716,,
"Act 4, Scene 1",,-0.9575,-0.9708,,
"Act 4, Scene 2",0.9614,,,,
"Act 4, Scene 3",0.6634,0.8915,,,
"Act 4, Scene 4",-0.955,,,,
"Act 4, Scene 5",,-0.998,-0.9537,0.9974,-0.9913
"Act 4, Scene 6",,,,,
"Act 4, Scene 7",,0.9179,-0.9818,,-0.9899
"Act 5, Scene 1",0.9886,0.2714,0.7896,,-0.9764
"Act 5, Scene 2",0.9867,0.9609,0.8472,,-0.9881
